utc,lat,lon,h,quality,E,N,U,est_E,est_N,est_U,err_2d,err_3d,err_h
1621218832.0,22.300070416666667,114.17979226944445,3.201,2,75.75360980306215,-125.06786944868554,-0.27268234431120675,77.79777584144942,-126.57611762740585,-1.399811997927718,2.540359691285675,2.7791812854095586,1.1271296536165112
1621218833.0,22.300070416666667,114.17979226944445,3.199,2,75.75360977919134,-125.06786940930886,-0.2746823445868358,77.8012849957887,-126.57844002626523,-1.400401993996258,2.5445623162891957,2.7824525351828573,1.1257196494094222
1621218834.0,22.300070416666667,114.17979226944445,3.197,2,75.75360975532054,-125.06786936993217,-0.276682344862472,77.80133591484372,-126.57970475935282,-1.3994269747825914,2.545354330756378,2.7819748692457154,1.1227446299201194
1621218835.0,22.300070416666667,114.17979226944445,3.195,2,75.75360973144974,-125.06786933012464,-0.2786823449614033,77.80208899930082,-126.58235189954968,-1.4001386050085598,2.5475330741538893,2.783449102661466,1.1214562600471565
1621218836.0,22.300070416666667,114.17979226944445,3.193,2,75.75360970800374,-125.06786929082031,-0.2806823450605762,77.79820433332311,-126.57970889966764,-1.400897498851644,2.5428382144297963,2.7786522228497144,1.1202151537910678
1621218837.0,22.300070416666667,114.17979226944445,3.191,2,75.75360968413293,-125.06786925144362,-0.2826823453362124,77.79939932820992,-126.57751397265568,-1.3987405056590951,2.5424953199752567,2.7766649544587443,1.1160581603228827
1621218838.0,22.300070416666667,114.17979226944445,3.189,2,75.75360966068693,-125.06786921170847,-0.2846823452586804,77.80037884067356,-126.57661028280442,-1.4002212102165088,2.542747273276464,2.7766869926202147,1.1155388649578284
1621218839.0,22.30007041388889,114.17979226944445,3.188,2,75.75360965028828,-125.0681767876734,-0.2856823519374885,77.79854822725224,-126.57799584859862,-1.4000726170416118,2.5419141174100477,2.77546267192469,1.1143902651041233
1621218840.0,22.30007039722222,114.17979228611111,3.191,2,75.75532708723968,-125.07002241194516,-0.2826824089451634,77.79939880731824,-126.57719756919217,-1.3991152249899923,2.5396468556567995,2.7742077038659625,1.116432816044829
1621218841.0,22.30007039722222,114.17979230833333,3.331,2,75.75761860669165,-125.07002516092598,-0.1426824346596689,77.80039592575656,-126.5772092467053,-1.399162431511857,2.538610455290936,2.832540383860772,1.256479996852188
1621218842.0,22.30007039722222,114.17979233055556,3.415,2,75.75990946044004,-125.07002680553131,-0.05868246273195865,77.79967984869077,-126.57862313037444,-1.399319041236823,2.5370309631761927,2.8694655501922215,1.3406365785048644
1621218843.0,22.30007039722222,114.17979235555556,3.46,2,75.76248608468106,-125.07002768034987,-0.013682492935721768,77.79858116482728,-126.57739888535514,-1.3999270732267313,2.5333478097321547,2.887823602899059,1.3862445802910095
1621218844.0,22.300070383333335,114.17979239722223,3.483,2,75.76677984641984,-125.07156609032205,0.009317424794176077,77.79975076336228,-126.57671124950848,-1.4004971769096763,2.5295123441794356,2.8958608237506054,1.4098146017038524
1621218845.0,22.300069961111113,114.17979282222223,3.487,2,75.81057363110537,-125.11832048181523,0.013315983049082547,77.85393418888398,-126.64006037892861,-1.4003345102394413,2.5477469818551364,2.9136613394021693,1.4136504932885239
1621218846.0,22.300067083333335,114.1797954888889,3.486,2,76.08535798796282,-125.43698813012195,0.012306420512139482,78.14846536700877,-126.99334147839545,-1.4164807530508152,2.5843079928979007,2.95297825753831,1.4287871735629547
1621218847.0,22.30006053888889,114.17980151111112,3.479,2,76.70591266848707,-126.16168010407523,0.0052846236863715035,78.82010215732157,-127.79955340780238,-1.4385322009456107,2.6744020179771693,3.0392487849550482,1.4438168246319822
1621218848.0,22.300049255555557,114.17981188888889,3.474,2,77.77528202424453,-127.41112789200997,0.00024671056014824444,79.90532132179565,-129.07667089566326,-1.4714013941831616,2.703904751674969,3.078449130702837,1.4716481047433099
1621218849.0,22.30003690277778,114.1798229638889,3.464,2,78.91649636192842,-128.77899943048402,-0.009794917705754358,81.03783030117899,-130.4608876282763,-1.5028338743782181,2.707176682761822,3.0915968232987465,1.4930389566724638
1621218850.0,22.300026033333335,114.17983197222223,3.456,2,79.84475333523474,-129.98261598229286,-0.01783100993716147,81.89228292770696,-131.63341207486417,-1.5368965158247003,2.630115049061191,3.037279240121908,1.5190655058875389
1621218851.0,22.300020236111113,114.17983649444444,3.445,2,80.31074250069287,-130.62456530367552,-0.028850040703808588,82.30784865689091,-132.2181225957727,-1.5525918328542079,2.5549672879158836,2.9748356074690845,1.5237417921503993
1621218852.0,22.30001902777778,114.179837475,3.431,2,80.41178297960835,-130.7583685633303,-0.04285407056067925,82.36850166826837,-132.29919120975657,-1.5557559340826086,2.490558663089762,2.914061513238797,1.5129018635219293
1621218853.0,22.300018922222222,114.1798376388889,3.412,2,80.42867050098192,-130.77005671703756,-0.061854524419821644,82.39258629268278,-132.3402927854242,-1.5623128612939474,2.5144793789876894,2.9281362277136944,1.5004583368741258
1621218854.0,22.300016483333334,114.17983950833334,3.394,2,80.62130593945909,-131.0401242519922,-0.07986252664633042,82.60873640362205,-132.66678087707902,-1.5621549798956968,2.5682468000217167,2.9653132284434665,1.4822924532493664
1621218855.0,22.30001028611111,114.17984368333333,3.371,2,81.05151621538828,-131.72636723935082,-0.10288218726189768,83.10982708401342,-133.50091842647888,-1.5894978997669644,2.717659939660953,3.097692984190803,1.4866157125050667
1621218856.0,22.29999308888889,114.17985124444445,3.363,2,81.83065020437071,-133.63068710933123,-0.11093195456461302,83.9191446838191,-135.78590279838554,-1.562353023541947,3.001127097780464,3.3336746956629555,1.451421068977334
1621218857.0,22.29996399166667,114.1798519138889,3.383,2,81.8996493928587,-136.85275066415318,-0.09100151937295209,83.67653988077744,-139.05984230522327,-1.4301972326923935,2.833477248565366,3.134013158349965,1.3391957133194414
1621218858.0,22.29992798611111,114.17983722777778,3.377,2,80.38635972018591,-140.83981206370873,-0.09706953049036571,81.92155008699048,-143.0134772991383,-1.2261805681771256,2.661133220649535,2.89076490802532,1.12911103768676
1621218859.0,22.2998924,114.17980594444445,3.309,2,77.16282940104395,-144.78043352236034,-0.1651184351757351,78.40063057438708,-146.86635414859524,-0.9570705232207648,2.425534292415138,2.551549473053714,0.7919520880450297
1621218860.0,22.29985878888889,114.17976316944446,3.231,2,72.75515245886209,-148.50235912502504,-0.2431526840745093,73.87359484411382,-150.5097793009709,-0.6532471104713191,2.2979663034783906,2.3342721714667007,0.4100944263968098
1621218861.0,22.299822747222223,114.1797129,3.179,2,67.5752194636685,-152.4934334704306,-0.29519039826355,68.58622147966945,-154.523697579386,-0.27243848806085236,2.26806027884412,2.268174393182398,0.022751910202697623
1621218862.0,22.299782455555558,114.17965710833334,3.132,2,61.826255300526896,-156.95512958104308,-0.3422409138075011,62.74412612089744,-158.97852829028636,0.1437491239779054,2.221852645756481,2.2743824428362385,0.4859900377854065
1621218863.0,22.299737194444447,114.17959827222222,3.085,2,55.76357880728428,-161.96711302180188,-0.3893110222959635,56.58293472017368,-163.99523440688014,0.5851907975638673,2.187377531337149,2.39463447346536,0.9745018198598308
1621218864.0,22.299687530555556,114.179535875,3.069,2,49.33394977885951,-167.46663490394127,-0.40540085071645393,50.03432041831286,-169.4770127525549,1.0513392250671347,2.128881895926759,2.579579379511064,1.4567400757835887
1621218865.0,22.299634319444447,114.17946950277778,3.036,2,42.49471783969352,-173.35895421998777,-0.43850990599575823,43.133790654813495,-175.30522626744096,1.5031279781546636,2.0485089567104677,2.822471721539675,1.9416378841504218
1621218866.0,22.299577958333334,114.17940058611111,3.001,2,35.39329208327744,-179.6000843000224,-0.4736401679458808,35.94446983207132,-181.5109117703731,1.9611490503867786,1.9887328961457817,3.1437647923980174,2.4347892183326594
1621218867.0,22.299520033333334,114.17933132222223,2.958,2,28.256081836887397,-186.01438713605347,-0.5167893885810741,28.781942588551246,-187.8295890664292,2.3814069087183207,1.8898379767007185,3.4599175359913117,2.898196297299395
1621218868.0,22.299462561111113,114.17926378333334,2.909,2,21.29661659779232,-192.37854807119987,-0.5659521459823935,21.810889518894427,-194.09054538566437,2.753815419977921,1.7875713809838607,3.77044667567579,3.3197675659603143
1621218869.0,22.299407330555557,114.17919849444445,2.853,2,14.568994594427824,-198.49447573649198,-0.6221216312529378,15.06106024491281,-200.08787420925447,3.082541028907517,1.6676472340962998,4.062705099188984,3.7046626601604546
1621218870.0,22.29935396666667,114.17913526666668,2.795,3,8.053752584993635,-204.40369598795556,-0.6802977066851525,8.578333154144264,-205.88238885385462,3.3944167955697986,1.568986094645578,4.366350379902877,4.074714502254951
1621218871.0,22.29930167777778,114.17907339444444,2.745,3,1.6781877451095752,-210.1938741547141,-0.7304820292482503,2.160342715610516,-211.56045955436107,3.679716888800542,1.4491477047240624,4.642185214623147,4.410198918048792
1621218872.0,22.299250997222224,114.17901155277778,2.72,3,-4.694233132379235,-215.80595263724905,-0.7556719427386298,-4.244947490962115,-217.09213879623871,3.9673976547654237,1.3623995093804828,4.915640227480779,4.723069597504054
1621218873.0,22.29919889166667,114.17894808333334,2.683,3,-11.234391674697967,-221.57582438072268,-0.7928789853154257,-10.848931090533041,-222.8329540819544,4.196687403564805,1.3148973144940699,5.159915473794801,4.989566388880231
1621218874.0,22.299145530555556,114.178884225,2.692,3,-17.814628030514655,-227.48472803806663,-0.7841030738265999,-17.459855315132803,-228.6555008274067,4.474858258474066,1.2233448425683404,5.399374676615076,5.258961332300666
1621218875.0,22.299091622222225,114.17881797777778,2.676,3,-24.64103068501521,-233.45422389301348,-0.8003426272500036,-24.385980748283007,-234.5688412137914,4.726916473961618,1.1434256609002733,5.644290514664525,5.527259101211621
1621218876.0,22.299037375,114.1787477,2.69,3,-31.882764535992983,-239.4612436212947,-0.7865985742906503,-31.682676334366604,-240.49293173705885,4.987613468119125,1.0509118215336004,5.869066396570169,5.774212042409776
1621218877.0,22.298982308333336,114.17867396111112,2.696,3,-39.48115209278941,-245.5589994223378,-0.7808741377519937,-39.31267939098005,-246.53625112816846,5.187987826673659,0.9916672565956255,6.050679060913011,5.968861964425653
1621218878.0,22.29892535,114.17859877500001,2.695,3,-47.228674320079804,-251.86622328037188,-0.7821740220487925,-47.13634311920231,-252.8849401125656,5.41998703157441,1.0228924845018093,6.2859454953038485,6.202161053623202
1621218879.0,22.29886527777778,114.17852379444444,2.695,2,-54.95502269956089,-258.5182578872159,-0.782503441930487,-54.86482716887865,-259.5118411182849,5.596378135367916,0.9976687179703421,6.45642881537569,6.378881577298403
1621218880.0,22.298803705555557,114.1784480638889,2.724,2,-62.75866198868472,-265.3363910698034,-0.7538568932759802,-62.69174334322328,-266.2371345572485,5.774904442087314,0.9032258495443571,6.5909439012496405,6.528761335363294
1621218881.0,22.29874203055556,114.17837261666668,2.738,2,-70.53311212912274,-272.16590087020325,-0.7402273816112768,-70.45004687433641,-273.00506798682284,5.949945461659498,0.8432682172170124,6.743108627258359,6.6901728432707745
1621218882.0,22.298680891666667,114.17829967777779,2.722,2,-78.04909835487746,-278.9360408165895,-0.7566089167897729,-77.97106694241216,-279.73269094799684,6.037387802820676,0.8004625745171515,6.84098909217667,6.793996719610449
1621218883.0,22.298621008333335,114.17822881666667,2.712,3,-85.35098661330998,-285.56714533691036,-0.766997399279532,-85.27004212862462,-286.2849221533637,6.106583264900937,0.7223264967027634,6.9114301497471935,6.873580664180469
1621218884.0,22.29856361666667,114.17815936666668,2.724,3,-92.50747230252307,-291.9223350980273,-0.7553863585741993,-92.44180855919406,-292.5717382517739,6.176509015243171,0.6527144730156,6.962557695045313,6.931895373817371
1621218885.0,22.29850733611111,114.17809244166668,2.723,3,-99.40377503773252,-298.1544844105578,-0.756779869355924,-99.3252879293837,-298.7754000066227,6.21136161366695,0.6258565359677691,6.996191258894927,6.968141483022874
1621218886.0,22.298451636111114,114.17802860833334,2.729,2,-105.98150302234315,-304.322345675874,-0.7511785709083796,-105.84373162495015,-304.8946452061481,6.219864534489828,0.5886490552881094,6.995852320311762,6.971043105398207
1621218887.0,22.298393888888892,114.17796955555556,2.713,2,-112.06662623273048,-310.71690446968455,-0.7675924760102504,-111.88915940878084,-311.32147926200537,6.163525739055345,0.6300834493244004,6.959698618785631,6.931118215065595
1621218888.0,22.298332575000003,114.17791283055556,2.636,2,-117.91189085842854,-317.506412147828,-0.8450339465615002,-117.70624712867364,-318.08766499130445,6.022067467165456,0.6165583602847302,6.8947245077702535,6.867101413726957
1621218889.0,22.298270233333334,114.17785473055557,2.564,2,-123.89884812376698,-324.4097268617016,-0.917496602830056,-123.70959032909475,-324.8993049568287,5.860054547544362,0.5248859152925427,6.797845601366221,6.777551150374418
1621218890.0,22.298209391666667,114.17779407500001,2.549,3,-130.14914731578855,-331.1469382917879,-0.932969080981394,-130.02212035745998,-331.5194636934715,5.728352300266074,0.3935873766290645,6.672938900312697,6.661321381247468
1621218891.0,22.298150969444446,114.17773103055556,2.543,3,-136.64561265954552,-337.6162298108756,-0.939445841097438,-136.63117739504708,-337.9088785824166,5.595604209012301,0.29300457393288976,6.541615307994264,6.535050050109739
