utc,lat,lon,h,quality,E,N,U,est_E,est_N,est_U,err_2d,err_3d,err_h
1621218869.0,22.299407330555557,114.17919849444445,2.853,2,14.568994594427824,-198.49447573649198,-0.6221216312529378,15.648960246874625,-199.7334014427814,2.920981241530836,1.6435518598966037,3.905744574763974,3.543102872783774
1621218870.0,22.29935396666667,114.17913526666668,2.795,3,8.053752584993635,-204.40369598795556,-0.6802977066851525,9.121021178828066,-205.53849698345837,3.2277558409486296,1.5578303985927038,4.207103288719269,3.908053547633782
1621218871.0,22.29930167777778,114.17907339444444,2.745,3,1.6781877451095752,-210.1938741547141,-0.7304820292482503,2.712047304894414,-211.22655139726672,3.5144214120457637,1.4612624256595936,4.489375580473784,4.244903441294014
1621218872.0,22.299250997222224,114.17901155277778,2.72,3,-4.694233132379235,-215.80595263724905,-0.7556719427386298,-3.71462654260141,-216.76480927240647,3.787684511549869,1.3707790184860376,4.745642526386338,4.543356454288499
1621218873.0,22.29919889166667,114.17894808333334,2.683,3,-11.234391674697967,-221.57582438072268,-0.7928789853154257,-10.31527219467145,-222.49188702060502,4.0411396949784955,1.2976715219008306,5.005166129129282,4.834018680293921
1621218874.0,22.299145530555556,114.178884225,2.692,3,-17.814628030514655,-227.48472803806663,-0.7841030738265999,-16.92763874766986,-228.31072155651873,4.324297600902273,1.2120294057515242,5.25021644639312,5.108400674728873
1621218875.0,22.299091622222225,114.17881797777778,2.676,3,-24.64103068501521,-233.45422389301348,-0.8003426272500036,-23.803551217309952,-234.1996323883963,4.560876600704601,1.1211626482436794,5.477196116080467,5.361219227954605
1621218876.0,22.299037375,114.1787477,2.69,3,-31.882764535992983,-239.4612436212947,-0.7865985742906503,-31.096132195666335,-240.1426055415437,4.809457720322628,1.0406942419429388,5.692002332896051,5.596056294613279
1621218877.0,22.298982308333336,114.17867396111112,2.696,3,-39.48115209278941,-245.5589994223378,-0.7808741377519937,-38.71518162110161,-246.15645673687322,5.036398969092856,0.9714247300689454,5.8978243790240015,5.8172731068448496
1621218878.0,22.29892535,114.17859877500001,2.695,3,-47.228674320079804,-251.86622328037188,-0.7821740220487925,-46.541396834537245,-252.45709752713273,5.262578095071337,0.906356837905966,6.112324506687059,6.0447521171201295
1621218879.0,22.29886527777778,114.17852379444444,2.695,2,-54.95502269956089,-258.5182578872159,-0.782503441930487,-54.29447254076784,-259.06100097624187,5.447641114056649,0.8549248931730683,6.288529061828619,6.2301445559871365
1621218880.0,22.298803705555557,114.1784480638889,2.724,2,-62.75866198868472,-265.3363910698034,-0.7538568932759802,-62.13759208421861,-265.79892576267105,5.651053015203702,0.7743811518494551,6.451553076901786,6.404909908479683
1621218881.0,22.29874203055556,114.17837261666668,2.738,2,-70.53311212912274,-272.16590087020325,-0.7402273816112768,-69.91277465782834,-272.5546426637113,5.804505567751253,0.7320783839943725,6.585549949608109,6.54473294936253
1621218882.0,22.298680891666667,114.17829967777779,2.722,2,-78.04909835487746,-278.9360408165895,-0.7566089167897729,-77.46238062922389,-279.282970776031,5.897378745880387,0.6816143237595274,6.688807808669707,6.6539876626701595
1621218883.0,22.298621008333335,114.17822881666667,2.712,3,-85.35098661330998,-285.56714533691036,-0.766997399279532,-84.79191020392668,-285.84967192226463,5.970906757026977,0.6264085751016504,6.766959444428008,6.737904156306509
1621218884.0,22.29856361666667,114.17815936666668,2.724,3,-92.50747230252307,-291.9223350980273,-0.7553863585741993,-92.00044039035734,-292.16405447470584,6.043305667955012,0.5617024274616352,6.821856264141614,6.798692026529212
1621218885.0,22.29850733611111,114.17809244166668,2.723,3,-99.40377503773252,-298.1544844105578,-0.756779869355924,-98.92241768645384,-298.36793476014793,6.080067529829176,0.5265604916533002,6.857094742754706,6.8368473991851
1621218886.0,22.298451636111114,114.17802860833334,2.729,2,-105.98150302234315,-304.322345675874,-0.7511785709083796,-105.48646041284495,-304.4800057692196,6.094031006889972,0.519542000470158,6.864897526856088,6.845209577798352
1621218887.0,22.298393888888892,114.17796955555556,2.713,2,-112.06662623273048,-310.71690446968455,-0.7675924760102504,-111.56713006935459,-310.8524563244771,6.046720762711175,0.517562288584607,6.833939979102759,6.814313238721425
1621218888.0,22.298332575000003,114.17791283055556,2.636,2,-117.91189085842854,-317.506412147828,-0.8450339465615002,-117.01335319214813,-317.13863341441004,5.916915562720053,0.9708919272911565,6.831295067595322,6.761949509281553
1621218889.0,22.298270233333334,114.17785473055557,2.564,2,-123.89884812376698,-324.4097268617016,-0.917496602830056,-123.0086900745488,-323.98696006437785,5.7590211126211805,0.9854507179495545,6.748851896600006,6.6765177154512365
1621218890.0,22.298209391666667,114.17779407500001,2.549,3,-130.14914731578855,-331.1469382917879,-0.932969080981394,-129.2730406954543,-330.62733469277464,5.6164756944146745,1.0186023317767317,6.628180563040197,6.5494447753960685
1621218891.0,22.298150969444446,114.17773103055556,2.543,3,-136.64561265954552,-337.6162298108756,-0.939445841097438,-135.83269841859519,-337.05978153727006,5.491865132781115,0.9851214363409517,6.506321932326217,6.431310973878553
1621218892.0,22.298095297222225,114.177664125,2.552,3,-143.53994907208443,-343.7809962119113,-0.9309282384577529,-142.7804088897017,-343.1792406651639,5.361011422114672,0.9690258132244324,6.3661225026682855,6.2919396605724245
1621218893.0,22.29804041666667,114.17759524722223,2.555,3,-150.63751766847298,-349.8580925334336,-0.9284240360318137,-149.90478312380435,-349.181869049983,5.187159155406821,0.9970848070855398,6.1963324542770915,6.115583191438635
1621218894.0,22.297984519444444,114.17752636944445,2.577,3,-157.73509342614264,-356.0477665802043,-0.9069398665514115,-157.07119458149378,-355.37169180822616,5.015035174693622,0.9475435468786713,5.997301656775365,5.921975041245034
1621218895.0,22.297928772222225,114.17745624166668,2.596,3,-164.96148101214945,-362.220825699323,-0.8884720076743662,-164.3707053788776,-361.51979745344954,4.790736484204544,0.916764119269581,5.752726792105606,5.67920849187891
1621218896.0,22.297876319444445,114.17738279444445,2.642,3,-172.52992371256965,-368.02907103739426,-0.8430064057509128,-171.9517407348521,-367.2390966497509,4.6051486649050055,0.9789561220273697,5.535408635572324,5.448155070655918
1621218897.0,22.29782428888889,114.17730882500001,2.604,3,-180.15218174594037,-373.79055266049994,-0.8815538616436527,-179.61133536452962,-372.9322488879087,4.284779459557168,1.0144950341571075,5.264997641032647,5.1663333212008204
1621218898.0,22.297769919444445,114.17723581666667,2.583,3,-187.67541104826117,-379.81102801331053,-0.90312824132468,-187.16413190818312,-378.9177321249151,3.9540209285397556,1.0292637676043483,4.965005736312685,4.857149169864435
1621218899.0,22.29771191388889,114.1771645138889,2.534,3,-195.02290088529423,-386.23414257100706,-0.9527363265159465,-194.56554226148796,-385.33202220732073,3.531768064214756,1.0114336663110974,4.597148865528553,4.484504390730702
1621218900.0,22.297651283333334,114.17709297777779,2.433,2,-202.39444271363124,-392.9479276596811,-1.0543781333687434,-201.97944705732647,-392.0094541948266,3.029555529636579,1.0261353901838826,4.210874968794003,4.083933663005322
1621218901.0,22.297588861111112,114.17702148055557,2.391,2,-209.7619879631784,-399.86011180861317,-1.0970479318048092,-209.35189232571568,-398.86746817708206,2.5607829734818073,1.0740203960285024,3.8122495645950476,3.6578309052866165
1621218902.0,22.29752614166667,114.17694856944445,2.367,2,-217.27523547972157,-406.80520415384143,-1.1217408338070243,-216.9216218431769,-405.7667233361685,2.0603001189574504,1.0970346451342996,3.365838623240155,3.1820409527644746
1621218903.0,22.297463119444448,114.1768752888889,2.306,2,-224.82655839470425,-413.78381770101555,-1.1834537119887614,-224.50079031075555,-412.6705846694447,1.49871352689587,1.1599192330072303,2.9222309498816292,2.6821672388846314
1621218904.0,22.297400850000002,114.17680183611111,2.356,2,-232.3956374584759,-420.6790761346862,-1.134178322050559,-232.1048373614247,-419.5080092284793,1.038641150118679,1.2066326679060464,2.4853786137922467,2.172819472169238
1621218905.0,22.297340180555558,114.17672973333333,2.359,2,-239.8256073739209,-427.3971549614778,-1.1319022361489317,-239.57200950834306,-426.16019136584805,0.501218854010681,1.2626918920856607,2.0643341080026234,1.6331210901596127
1621218906.0,22.297281627777778,114.17665868055556,2.394,2,-247.1473833659415,-433.8808464026688,-1.0976216892518948,-246.91990032160157,-432.5704868329682,-0.01664592808066301,1.3299589231882771,1.7138551086973035,1.0809757611712318
1621218907.0,22.297227625,114.17658870555556,2.394,2,-254.35809562441705,-439.8606925316761,-1.0983167922508983,-254.1535852539648,-438.4613122753186,-0.590132292929709,1.414245238106033,1.5027777875840187,0.5081844993211893
1621218908.0,22.297182630555557,114.17651799444445,2.444,2,-261.64465175699024,-444.843005607364,-1.0489587688015263,-261.43307526896274,-443.3235125207249,-1.0510686211133797,1.534152486107583,1.534153936900354,0.002109852311853455
1621218909.0,22.2971505,114.17644559166668,2.42,2,-269.10550387014683,-448.4008327376174,-1.0735194926412532,-268.83398920775824,-446.7426077798166,-1.5330821050805237,1.680306585884119,1.742018374563699,0.45956261243927043
1621218910.0,22.29713061111111,114.17637125277778,2.399,2,-276.76584328515725,-450.60307996916555,-1.0950031615840032,-276.46449639816046,-448.86116935392647,-1.9309386319607778,1.7677846412346825,1.9554668620100097,0.8359354703767745
1621218911.0,22.29712290277778,114.17629705833333,2.33,2,-284.4112736473779,-451.4565144253929,-1.164400009864977,-284.0314950675138,-449.62099016902823,-2.3091367970984247,1.874401521933542,2.19631586468621,1.1447367872334477
1621218912.0,22.297124902777778,114.17622771388889,2.316,2,-291.5569154030674,-451.23491247745915,-1.178706729255282,-290.6198455492531,-449.38539573047774,-2.5561534978042455,2.073357689423669,2.489211061456669,1.3774467685489635
1621218913.0,22.297130330555557,114.17616769166668,2.3,2,-297.74193472188813,-450.63375279593663,-1.1949495923205973,-296.794829476828,-448.816672362697,-2.7710147684557422,2.049094835795262,2.585105623665833,1.576065176135145
1621218914.0,22.29713551111111,114.17611931944445,2.289,2,-302.72647206235354,-450.05999040863384,-1.2061433878409673,-301.7506839513035,-448.2394430765022,-2.954333584203219,2.0655640939458357,2.7060532124951586,1.7481901963622515
1621218915.0,22.29713906666667,114.17608688888889,2.31,2,-306.0682941753498,-449.6662044046406,-1.1852748769850905,-305.07940369313667,-447.85252200433615,-3.0643917638372,2.0657560928110312,2.792566652640302,1.8791168868521093
